restaurant_id,name,neighborhood,cuisine,secondary_cuisine,rating,price_level,address,closing_time,terrace,starter_1,starter_1_price,starter_2,starter_2_price,main_1,main_1_price,main_2,main_2_price,dessert,dessert_price
1,Guell Tapas Restaurant,Ciutat Vella,Spanish,Tapas,4.7,2,"Carrer Nou de la Rambla 20, 08001",1:00 AM,Yes,Croquetas de Jamon,8.5,Patatas Bravas,7.0,Tortilla Espanola,9.0,Pulpo a la Brasa,17.0,Tarta de Santiago,6.5
2,La Taperia Barcelona,Ciutat Vella,Spanish,Tapas,4.7,2,"Placa de l'Angel 5, 08002",12:00 AM,No,Patatas Bravas,7.0,Pimientos de Padron,7.5,Albondigas en Salsa,11.0,Paella de Marisco,17.0,Crema Catalana,6.0
3,Petit Tapas,Ciutat Vella,Spanish,Tapas,4.8,2,"Carrer Ample 26, 08002",1:30 AM,No,Pimientos de Padron,7.5,Pan con Tomate,6.0,Pulpo a la Brasa,17.0,Tortilla Espanola,9.0,Tarta de Santiago,6.5
4,Bodega Oliva,Ciutat Vella,Spanish,Tapas,4.7,2,"Carrer del Vidre 8, 08002",10:30 PM,No,Pan con Tomate,6.0,Croquetas de Jamon,8.5,Paella de Marisco,17.0,Albondigas en Salsa,11.0,Crema Catalana,6.0
5,Bodega Biarritz 1881,Ciutat Vella,Spanish,Tapas,4.7,2,"Carrer Nou de Sant Francesc 7, 08002",11:00 PM,No,Croquetas de Jamon,8.5,Patatas Bravas,7.0,Tortilla Espanola,9.0,Pulpo a la Brasa,17.0,Tarta de Santiago,6.5
6,Tapas San Miguel,Ciutat Vella,Spanish,Tapas,4.8,2,"Carrer del Pas de l'Ensenyanca 2 Bis, 08002",1:00 AM,No,Patatas Bravas,7.0,Pimientos de Padron,7.5,Albondigas en Salsa,11.0,Paella de Marisco,17.0,Crema Catalana,6.0
7,Vivo Tapas,Eixample,Spanish,Tapas,4.8,3,"Carrer del Rossello 255, 08008",1:00 AM,No,Pimientos de Padron,9.5,Pan con Tomate,7.5,Pulpo a la Brasa,21.0,Tortilla Espanola,11.0,Tarta de Santiago,8.0
8,Local Tapas,Eixample,Spanish,Tapas,4.7,2,"Carrer d'Aribau 37, 08011",12:00 AM,No,Pan con Tomate,6.0,Croquetas de Jamon,8.5,Paella de Marisco,17.0,Albondigas en Salsa,11.0,Crema Catalana,6.0
9,Coleccion by Sensi,Ciutat Vella,Spanish,Tapas,4.8,2,"Carrer del Regomir 16, 08002",1:00 AM,No,Croquetas de Jamon,8.5,Patatas Bravas,7.0,Tortilla Espanola,9.0,Pulpo a la Brasa,17.0,Tarta de Santiago,6.5
10,Sagradas Tapas,Eixample,Spanish,Tapas,4.7,2,"Av. de Gaudi 48, 08025",1:00 AM,Yes,Patatas Bravas,7.0,Pimientos de Padron,7.5,Albondigas en Salsa,11.0,Paella de Marisco,17.0,Crema Catalana,6.0
11,Gloria Osteria Barcelona,Eixample,Italian,,4.8,3,"Carrer d'Enric Granados 86, 08008",11:45 PM,No,Bruschetta Mista,11.0,Burrata con Prosciutto,17.5,Risotto ai Funghi,20.0,Pasta alla Carbonara,19.0,Panna Cotta,9.5
12,Circolo Popolare Barcelona,Eixample,Italian,,4.8,2,"Pg. de Gracia 44, 08007",12:00 AM,No,Burrata con Prosciutto,14.0,Calamari Fritti,12.0,Pizza Margherita,14.0,Tagliatelle al Tartufo,21.0,Tiramisu,7.0
13,Gioia Barcelona,Eixample,Italian,,4.9,2,"Carrer de Provenca 371, 08025",1:00 AM,Yes,Calamari Fritti,12.0,Carpaccio di Manzo,15.0,Pasta alla Carbonara,15.0,Risotto ai Funghi,16.0,Panna Cotta,7.5
14,L'Ape Regina,Gracia,Italian,,4.9,2,"Carrer de Bruniquer 26, 08012",11:30 PM,No,Carpaccio di Manzo,15.0,Bruschetta Mista,9.0,Tagliatelle al Tartufo,21.0,Pizza Margherita,14.0,Tiramisu,7.0
15,Restaurant BelleBuon,Horta-Guinardo,Italian,,4.8,2,"Travessera de Gracia 441, 08025",12:00 AM,No,Bruschetta Mista,9.0,Burrata con Prosciutto,14.0,Risotto ai Funghi,16.0,Pasta alla Carbonara,15.0,Panna Cotta,7.5
16,Paisano Bistro,Eixample,Italian,,4.8,2,"Carrer de Lepant 277, 08013",12:30 AM,No,Burrata con Prosciutto,14.0,Calamari Fritti,12.0,Pizza Margherita,14.0,Tagliatelle al Tartufo,21.0,Tiramisu,7.0
17,Buon Appetito,Ciutat Vella,Italian,,4.8,2,"Av. del Marques de l'Argentera 19, 08003",12:00 AM,No,Calamari Fritti,12.0,Carpaccio di Manzo,15.0,Pasta alla Carbonara,15.0,Risotto ai Funghi,16.0,Panna Cotta,7.5
